doc_id,topic,prob
35,topic 5,5.717294949635479e-4
35,topic 6,0.021176209936362204
35,topic 7,0.9742499464854457
35,topic 8,5.717303274632628e-4
35,topic 9,5.717312244828017e-4
35,topic 10,5.717291866879485e-4
36,topic 1,0.06485760316810597
36,topic 2,0.582507766720106
36,topic 3,4.921614219939733e-4
36,topic 4,4.921611609539008e-4
36,topic 5,4.921619644441889e-4
36,topic 6,4.921621484169226e-4
36,topic 7,4.921616004483593e-4
36,topic 8,4.921628758712676e-4
36,topic 9,4.921614447276706e-4
36,topic 10,0.34918949749493183
37,topic 1,5.62633037357721e-4
37,topic 2,5.626344247465449e-4
37,topic 3,0.67235031368656
